HRF_CODE,AMPTRCP_OBSRVT_CD
3001410_hrf,3001410
9000121_hrf,9000121
9000117_hrf,9000117
9000079_hrf,9000079
3013440_hrf,3013440
3013430_hrf,3013430
3013420_hrf,3013420
3012425_hrf,3012425
3007479_hrf,3007479
3011430_hrf,3011430
3009420_hrf,3009420
3009410_hrf,3009410
3008460_hrf,3008460
3008420_hrf,3008420
3007483_hrf,3007483
3007477_hrf,3007477
3007460_hrf,3007460
3007455_hrf,3007455
3007450_hrf,3007450
3007440_hrf,3007440
3007435_hrf,3007435
3007430_hrf,3007430
3007425_hrf,3007425
3005454_hrf,3005454
3005450_hrf,3005450
3003454_hrf,3003454
3003452_hrf,3003452
3003420_hrf,3003420
3001442_hrf,3001442
3007481_hrf,3007481
2010434_hrf,2010434
3003430_hrf,3003430
3003431_hrf,3003431
3003450_hrf,3003450
3004430_hrf,3004430
3004440_hrf,3004440
3005430_hrf,3005430
3005440_hrf,3005440
3007470_hrf,3007470
3007475_hrf,3007475
3007487_hrf,3007487
3008430_hrf,3008430
3008440_hrf,3008440
3008450_hrf,3008450
9000016_hrf,9000016
9000017_hrf,9000017
9000018_hrf,9000018
9000019_hrf,9000019
2008430_hrf,2008430
8000636_hrf,8000636
8000641_hrf,8000641
8000642_hrf,8000642
8000643_hrf,8000643
8000647_hrf,8000647
8000648_hrf,8000648
8000659_hrf,8000659
8000701_hrf,8000701
1004410_hrf,1004410
1004430_hrf,1004430
9000027_hrf,9000027
9000029_hrf,9000029
8000133_hrf,8000133
8000135_hrf,8000135
8000226_hrf,8000226
8000238_hrf,8000238
8000604_hrf,8000604
8000605_hrf,8000605
8000734_hrf,8000734
8000735_hrf,8000735
8000757_hrf,8000757
8000758_hrf,8000758
8000809_hrf,8000809
8000821_hrf,8000821
8000834_hrf,8000834
9000133_hrf,9000133
8000314_hrf,8000314
8000625_hrf,8000625
8000626_hrf,8000626
